Movie release date,Number of movies,top 10 1grams
1880,2,[]
1890,149,"[(('then',), 22), (('into',), 21), (('film',), 20), (('man',), 12), (('two',), 11), (('before',), 11), (('this',), 10), (('only',), 9), (('its',), 9), (('while',), 8)]"
1900,193,"[(('film',), 24), (('then',), 20), (('into',), 20), (('two',), 16), (('their',), 16), (('all',), 14), (('man',), 14), (('while',), 11), (('one',), 11), (('begins',), 10)]"
1910,2669,"[(('into',), 163), (('after',), 159), (('their',), 159), (('film',), 140), (('one',), 135), (('love',), 127), (('young',), 122), (('man',), 117), (('then',), 112), (('while',), 110)]"
1920,2883,"[(('after',), 518), (('their',), 513), (('into',), 445), (('not',), 341), (('then',), 332), (('one',), 318), (('love',), 299), (('man',), 285), (('while',), 276), (('young',), 264)]"
1930,4800,"[(('their',), 1827), (('into',), 1311), (('after',), 1302), (('then',), 1050), (('not',), 1017), (('one',), 897), (('them',), 843), (('while',), 785), (('new',), 708), (('all',), 703)]"
1940,4466,"[(('their',), 2004), (('into',), 1825), (('after',), 1735), (('then',), 1437), (('not',), 1231), (('one',), 1112), (('while',), 1068), (('them',), 995), (('back',), 905), (('all',), 848)]"
1950,5723,"[(('their',), 2642), (('into',), 2455), (('after',), 2336), (('then',), 2013), (('not',), 1681), (('one',), 1499), (('while',), 1320), (('back',), 1312), (('them',), 1268), (('tom',), 1189)]"
1960,5875,"[(('their',), 2950), (('into',), 2358), (('after',), 2341), (('one',), 1648), (('then',), 1619), (('not',), 1574), (('while',), 1476), (('them',), 1409), (('this',), 1301), (('all',), 1278)]"
1970,6716,"[(('their',), 3571), (('after',), 2814), (('into',), 2646), (('one',), 2128), (('then',), 1921), (('not',), 1905), (('them',), 1815), (('while',), 1701), (('two',), 1581), (('this',), 1530)]"
1980,7397,"[(('their',), 5804), (('after',), 4611), (('into',), 4488), (('one',), 3278), (('them',), 2984), (('not',), 2963), (('then',), 2848), (('while',), 2755), (('this',), 2397), (('back',), 2359)]"
1990,9469,"[(('their',), 8535), (('after',), 7198), (('into',), 6217), (('not',), 4725), (('one',), 4715), (('then',), 4363), (('them',), 4197), (('while',), 4176), (('this',), 3551), (('two',), 3465)]"
2000,19268,"[(('their',), 18251), (('after',), 14782), (('into',), 12382), (('not',), 10618), (('one',), 9918), (('then',), 9195), (('while',), 8858), (('them',), 8666), (('this',), 7890), (('all',), 7142)]"
2010,5228,"[(('their',), 4940), (('after',), 3724), (('into',), 2968), (('not',), 2496), (('them',), 2349), (('one',), 2343), (('while',), 2330), (('then',), 2214), (('back',), 1761), (('this',), 1736)]"
