Movie release date,top 10 3grams
1880,[]
1890,"[(('film', 'contains', 'footage'), 1), (('contains', 'footage', 'baseball'), 1), (('footage', 'baseball', 'game'), 1), (('baseball', 'game', 'between'), 1), (('game', 'between', 'reading'), 1), (('between', 'reading', 'phillies'), 1), (('reading', 'phillies', 'newark'), 1), (('phillies', 'newark', 'camera'), 1), (('newark', 'camera', 'situated'), 1), (('camera', 'situated', 'twenty'), 1)]"
1900,"[(('tries', 'light', 'pipe'), 2), (('couple', 'elope', 'wealthy'), 1), (('elope', 'wealthy', 'father'), 1), (('wealthy', 'father', 'gives'), 1), (('father', 'gives', 'limousine'), 1), (('gives', 'limousine', 'breaks'), 1), (('limousine', 'breaks', 'arrives'), 1), (('breaks', 'arrives', 'too'), 1), (('arrives', 'too', 'late'), 1), (('too', 'late', 'prevent'), 1)]"
1910,"[(('new', 'york', 'times'), 13), (('pike', 'ross', 'australian'), 13), (('ross', 'australian', 'film'), 13), (('australian', 'film', 'guide'), 13), (('film', 'guide', 'feature'), 13), (('guide', 'feature', 'film'), 13), (('feature', 'film', 'oxford'), 13), (('film', 'oxford', 'university'), 13), (('york', 'times', 'review'), 8), (('world', 'war', 'i'), 5)]"
1920,"[(('meets', 'falls', 'love'), 8), (('their', 'love', 'each'), 6), (('york', 'times', 'overview'), 5), (('new', 'york', 'city'), 5), (('new', 'york', 'times'), 5), (('first', 'young', 'man'), 5), (('american', 'film', 'institute'), 4), (('film', 'institute', 'catalog'), 4), (('tries', 'force', 'himself'), 4), (('falls', 'love', 'young'), 4)]"
1930,"[(('new', 'york', 'city'), 30), (('world', 'war', 'i'), 20), (('during', 'world', 'war'), 14), (('oswald', 'girl', 'beagle'), 10), (('during', 'first', 'world'), 8), (('immediately', 'falls', 'love'), 7), (('just', 'time', 'save'), 7), (('large', 'sum', 'money'), 7), (('meets', 'falls', 'love'), 7), (('spend', 'more', 'time'), 7)]"
1940,"[(('during', 'world', 'war'), 55), (('world', 'war', 'ii'), 46), (('new', 'york', 'city'), 38), (('after', 'world', 'war'), 15), (('world', 'war', 'i'), 15), (('royal', 'air', 'force'), 15), (('make', 'their', 'way'), 13), (('during', 'second', 'world'), 12), (('second', 'world', 'war'), 11), (('meets', 'falls', 'love'), 9)]"
1950,"[(('during', 'world', 'war'), 45), (('world', 'war', 'ii'), 41), (('new', 'york', 'city'), 29), (('film', 'takes', 'place'), 11), (('story', 'revolves', 'around'), 11), (('tawt', 'i', 'taw'), 11), (('make', 'their', 'way'), 10), (('fall', 'love', 'each'), 9), (('after', 'world', 'war'), 9), (('live', 'happily', 'ever'), 8)]"
1960,"[(('new', 'york', 'city'), 35), (('during', 'world', 'war'), 35), (('world', 'war', 'ii'), 30), (('make', 'their', 'way'), 23), (('de', 'la', 'bath'), 16), (('fall', 'love', 'each'), 12), (('gets', 'into', 'fight'), 12), (('film', 'takes', 'place'), 11), (('their', 'way', 'back'), 11), (('go', 'their', 'separate'), 10)]"
1970,"[(('new', 'york', 'city'), 55), (('during', 'world', 'war'), 36), (('world', 'war', 'ii'), 32), (('make', 'their', 'way'), 24), (('film', 'takes', 'place'), 14), (('little', 'red', 'riding'), 12), (('gets', 'into', 'fight'), 12), (('united', 'states', 'army'), 11), (('film', 'revolves', 'around'), 11), (('start', 'new', 'life'), 11)]"
1980,"[(('new', 'york', 'city'), 83), (('during', 'world', 'war'), 37), (('make', 'their', 'way'), 36), (('story', 'revolves', 'around'), 30), (('film', 'takes', 'place'), 30), (('world', 'war', 'ii'), 30), (('receives', 'phone', 'call'), 21), (('hong', 'kong', 'police'), 19), (('high', 'school', 'student'), 19), (('story', 'takes', 'place'), 18)]"
1990,"[(('make', 'their', 'way'), 81), (('new', 'york', 'city'), 77), (('film', 'takes', 'place'), 29), (('story', 'revolves', 'around'), 29), (('fall', 'love', 'each'), 29), (('film', 'revolves', 'around'), 27), (('world', 'war', 'ii'), 26), (('during', 'world', 'war'), 25), (('start', 'new', 'life'), 22), (('final', 'scene', 'shows'), 22)]"
2000,"[(('new', 'york', 'city'), 158), (('make', 'their', 'way'), 94), (('story', 'revolves', 'around'), 78), (('film', 'revolves', 'around'), 67), (('receives', 'phone', 'call'), 61), (('film', 'takes', 'place'), 60), (('their', 'love', 'each'), 58), (('during', 'world', 'war'), 54), (('world', 'war', 'ii'), 48), (('high', 'school', 'student'), 47)]"
2010,"[(('new', 'york', 'city'), 39), (('make', 'their', 'way'), 37), (('film', 'revolves', 'around'), 24), (('story', 'revolves', 'around'), 22), (('during', 'world', 'war'), 16), (('their', 'love', 'each'), 14), (('world', 'war', 'ii'), 14), (('their', 'way', 'back'), 12), (('kamen', 'rider', 'ooo'), 12), (('receives', 'phone', 'call'), 11)]"
